Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786414708,50,,Aggregated,0.000000,0.000000,16000,17000,18000,18000,19000,22000,22000,23000,26000,26000,26000,259,3,16000,15694.128759073374,6929.788599999938,26437.02179999991,642.4440154440155
1786414709,50,,Aggregated,0.000000,0.000000,16000,17000,18000,18000,19000,22000,22000,23000,26000,26000,26000,259,3,16000,15694.128759073374,6929.788599999938,26437.02179999991,642.4440154440155
1786414711,50,,Aggregated,0.000000,0.000000,16000,17000,18000,18000,19000,22000,22000,23000,26000,26000,26000,259,3,16000,15694.128759073374,6929.788599999938,26437.02179999991,642.4440154440155
1786414712,50,,Aggregated,1.200000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,297,3,17000,16240.437310101031,6929.788599999938,26437.02179999991,643.8417508417508
1786414713,50,,Aggregated,1.200000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,297,3,17000,16240.437310101031,6929.788599999938,26437.02179999991,643.8417508417508
1786414714,50,,Aggregated,1.200000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,297,3,17000,16240.437310101031,6929.788599999938,26437.02179999991,643.8417508417508
1786414715,50,,Aggregated,5.000000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,307,3,17000,15928.104735504905,6314.010999999937,26437.02179999991,644.1237785016286
1786414716,50,,Aggregated,5.000000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,307,3,17000,15928.104735504905,6314.010999999937,26437.02179999991,644.1237785016286
1786414717,50,,Aggregated,5.000000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,307,3,17000,15928.104735504905,6314.010999999937,26437.02179999991,644.1237785016286
1786414718,50,,Aggregated,5.000000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,307,3,17000,15928.104735504905,6314.010999999937,26437.02179999991,644.1237785016286
1786414719,50,,Aggregated,5.000000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,307,3,17000,15928.104735504905,6314.010999999937,26437.02179999991,644.1237785016286
1786414720,50,,Aggregated,5.000000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,307,3,17000,15928.104735504905,6314.010999999937,26437.02179999991,644.1237785016286
1786414721,50,,Aggregated,5.000000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,307,3,17000,15928.104735504905,6314.010999999937,26437.02179999991,644.1237785016286
1786414722,50,,Aggregated,5.000000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,307,3,17000,15928.104735504905,6314.010999999937,26437.02179999991,644.1237785016286
1786414723,50,,Aggregated,5.000000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,307,3,17000,15928.104735504905,6314.010999999937,26437.02179999991,644.1237785016286
1786414724,50,,Aggregated,5.000000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,307,3,17000,15928.104735504905,6314.010999999937,26437.02179999991,644.1237785016286
1786414725,50,,Aggregated,5.000000,0.100000,17000,18000,19000,19000,21000,22000,22000,23000,26000,26000,26000,307,3,17000,15928.104735504905,6314.010999999937,26437.02179999991,644.1237785016286
